institucion,comunidad_modal
SUBSECRETARIA DE TELECOMUNICACIONES,0
SUBSECRETARIA DE TRANSPORTES,0
SUBSECRETARIA DE VIVIENDA Y URBANISMO,0
SUBSECRETARIA DEL DEPORTE,6
SUBSECRETARIA DEL INTERIOR,0
SUBSECRETARIA DEL MEDIO AMBIENTE,2
SUBSECRETARIA DEL PATRIMONIO CULTURAL,6
SUBSECRETARIA DEL TRABAJO,0
SUBSECRETARIA GENERAL DE GOBIERNO,6
SUBSECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,5
SUBSECRETARIA PARA LAS FUERZAS ARMADAS,1
SUPERINTENDENCIA DE CASINOS DE JUEGO,0
SUPERINTENDENCIA DE EDUCACION,0
SUPERINTENDENCIA DE EDUCACION SUPERIOR,0
SUPERINTENDENCIA DE ELECTRICIDAD Y COMBUSTIBLES,0
SUPERINTENDENCIA DE INSOLVENCIA Y REEMPRENDIMIENTO,0
SUPERINTENDENCIA DE PENSIONES,0
SUPERINTENDENCIA DE SALUD,0
SUPERINTENDENCIA DE SEGURIDAD SOCIAL,0
SUPERINTENDENCIA DE SERVICIOS SANITARIOS,0
SUPERINTENDENCIA DEL MEDIO AMBIENTE,2
TERCER TRIBUNAL AMBIENTAL,9
THOMAS-SIGNE CHILE S.A,0
TRIBUNAL CALIFICADOR DE ELECCIONES DE CHILE‎,10
TRIBUNAL CONSTITUCIONAL DE CHILE,9
TRIBUNAL DE DEFENSA DE LA LIBRE COMPETENCIA,9
TRIBUNAL ELECTORAL REGION DE ANTOFAGASTA,0
TRIBUNAL ELECTORAL REGION DE ARICA Y PARINACOTA,0
TRIBUNAL ELECTORAL REGION DE BIOBIO,10
TRIBUNAL ELECTORAL REGION DE COQUIMBO,0
TRIBUNAL ELECTORAL REGION DE LOS RIOS,5
TRIBUNAL ELECTORAL REGION DE MAULE,10
TRIBUNAL ELECTORAL REGION DE O’HIGGINS,10
TRIBUNAL ELECTORAL REGION DE VALPARAISO,10
TRIBUNAL ELECTORAL REGIONAL DE TARAPACA,5
UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS,0
UNIDAD DE ANALISIS FINANCIERO,0
UNIVERSIDAD DE ANTOFAGASTA,0
UNIVERSIDAD DE CHILE,0
UNIVERSIDAD DE LA FRONTERA,5
UNIVERSIDAD DE LA SERENA,0
UNIVERSIDAD DE LOS LAGOS,3
UNIVERSIDAD DE O'HIGGINS,0
UNIVERSIDAD DE SANTIAGO DE CHILE,0
UNIVERSIDAD DE TALCA,6
UNIVERSIDAD DE TARAPACA,6
UNIVERSIDAD DEL BIOBIO,5
UNIVERSIDAD TECNOLOGICA METROPOLITANA,0
